City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,14.12,67,20,6.71,CA,1717471880
1,arno,60.1167,18.6333,13.77,62,9,4.73,SE,1717472049
2,bethel,41.3712,-73.414,20.64,78,0,0.0,US,1717472049
3,saint-pierre,-21.3393,55.4781,18.82,68,0,2.06,RE,1717472049
4,eureka,40.8021,-124.1637,15.67,80,100,1.79,US,1717471870
5,tungi,23.89,90.4058,31.0,79,40,4.12,BD,1717472050
6,guiglo,6.5456,-7.4966,22.26,99,100,0.89,CI,1717472031
7,prabumulih,-3.45,104.25,32.25,58,88,0.18,ID,1717472050
8,margaret river,-33.95,115.0667,19.07,65,51,3.36,AU,1717472051
9,waitangi,-43.9535,-176.5597,8.79,86,100,2.68,NZ,1717472051
10,ust-nera,64.5667,143.2,19.73,23,37,1.85,RU,1717472051
11,udachny,66.4167,112.4,16.92,34,38,4.93,RU,1717472051
12,berezovyy,51.6667,135.7,10.27,64,100,2.56,RU,1717472051
13,port arthur,38.8,121.2667,27.12,61,1,2.85,CN,1717472052
14,albany,42.6001,-73.9662,20.23,69,58,1.63,US,1717471949
15,san juan,-31.5375,-68.5364,8.79,51,94,1.22,AR,1717472052
16,chibougamau,49.9168,-74.3659,16.79,59,75,2.06,CA,1717472052
17,vado ligure,44.2691,8.4338,19.1,91,84,1.56,IT,1717472052
18,grytviken,-54.2811,-36.5092,-0.81,80,35,3.96,GS,1717472053
19,adamstown,-25.066,-130.1015,21.36,80,94,3.97,PN,1717472053
20,namdrik,5.5994,168.1028,28.48,76,98,3.95,MH,1717472053
21,nieuw amsterdam,5.8833,-55.0833,25.09,94,98,3.14,SR,1717472053
22,invercargill,-46.4,168.35,11.12,71,100,1.34,NZ,1717472054
23,hermanus,-34.4187,19.2345,16.0,94,100,6.89,ZA,1717472054
24,fale old settlement,-9.3852,-171.2468,28.75,74,72,6.05,TK,1717472054
25,kingston,17.997,-76.7936,28.53,79,20,3.6,JM,1717471810
26,lihue,21.9789,-159.3672,28.58,79,75,5.66,US,1717471976
27,port-aux-francais,-49.35,70.2167,1.89,80,96,17.37,TF,1717472055
28,punta arenas,-53.15,-70.9167,0.06,93,0,2.57,CL,1717471785
29,iqaluit,63.7506,-68.5145,-0.15,93,100,2.57,CA,1717471813
30,cabo san lucas,22.8909,-109.9124,28.17,41,0,4.63,MX,1717472055
31,ulsteinvik,62.3432,5.8487,10.97,75,97,6.26,NO,1717472056
32,longyearbyen,78.2186,15.6401,4.91,75,75,9.77,SJ,1717472056
33,georgetown,5.4112,100.3354,31.97,72,20,1.03,MY,1717471813
34,blackmans bay,-43.0167,147.3167,13.74,89,33,0.89,AU,1717472056
35,tanumah,27.1,44.1333,32.12,12,0,0.88,SA,1717472057
36,praia da vitoria,38.7333,-27.0667,17.64,94,20,2.61,PT,1717471903
37,arkhangel'sk,64.5401,40.5433,18.06,100,40,3.0,RU,1717471941
38,tercan,39.7794,40.3925,16.47,54,0,0.74,TR,1717472057
39,port alfred,-33.5906,26.891,10.66,82,35,0.89,ZA,1717472057
40,yershov,51.3513,48.2766,22.2,65,33,4.29,RU,1717471811
41,lionel town,17.8101,-77.2406,28.94,89,28,2.48,JM,1717472058
42,papatowai,-46.5619,169.4708,9.88,65,97,2.37,NZ,1717472058
43,quatre cocos,-20.2078,57.7625,22.06,67,1,6.75,MU,1717472058
44,kristiansund,63.1115,7.732,9.03,81,75,5.14,NO,1717472059
45,fada,9.5667,8.3,20.7,95,62,1.48,NG,1717472059
46,taroudant,30.4703,-8.877,16.51,91,41,1.24,MA,1717471896
47,mashi,12.9784,7.9529,27.05,59,93,4.34,NG,1717472059
48,asind,25.7333,74.3333,34.75,32,1,8.37,IN,1717472060
49,middlesboro,36.6084,-83.7166,21.22,94,0,0.0,US,1717472060
50,lebu,-37.6167,-73.65,10.27,72,81,3.46,CL,1717472061
51,castillos,-34.1667,-53.8333,8.26,74,100,0.92,UY,1717471990
52,mazagao,-0.115,-51.2894,27.03,96,100,1.75,BR,1717472061
53,edinburgh of the seven seas,-37.0676,-12.3116,12.7,63,7,5.63,SH,1717472061
54,keflavik,64.0049,-22.5624,4.95,65,40,9.26,IS,1717472061
55,happy valley-goose bay,53.3168,-60.3315,18.17,82,75,4.63,CA,1717472062
56,kilifi,-3.6305,39.8499,24.96,89,87,3.74,KE,1717472062
57,kavaratti,10.5669,72.642,28.74,81,100,3.19,IN,1717472062
58,port elizabeth,-33.918,25.5701,10.17,94,0,0.51,ZA,1717472062
59,nuku'alofa,-21.1333,-175.2,26.19,61,75,4.63,TO,1717471831
60,bethanie,-26.4833,17.15,4.24,80,0,1.39,NA,1717472063
61,port mathurin,-19.6833,63.4167,23.66,69,1,10.1,MU,1717472063
62,mossel bay,-34.1831,22.146,14.96,80,100,7.88,ZA,1717471794
63,novyy urgal,51.0736,132.5642,21.88,22,61,3.48,RU,1717472064
64,sitka,57.0531,-135.33,10.94,76,100,2.06,US,1717472064
65,talnakh,69.4865,88.3972,-2.11,85,100,2.87,RU,1717472064
66,brisas de zicatela,15.8369,-97.0419,30.29,84,100,3.09,MX,1717472064
67,sumenep,-7.0167,113.8667,32.21,58,89,3.98,ID,1717472065
68,nadym,65.5333,72.5167,-0.58,83,100,1.51,RU,1717472065
69,susuman,62.7833,148.1667,16.1,33,70,3.13,RU,1717472065
70,porirua,-41.1333,174.85,13.14,65,21,3.84,NZ,1717472065
71,sisimiut,66.9395,-53.6735,2.52,65,100,2.67,GL,1717472065
72,terrace,54.5163,-128.6035,13.45,62,75,6.17,CA,1717472066
73,winnipeg,49.8844,-97.147,19.99,69,75,2.57,CA,1717471891
